 Main Link,Include(Y/N),Name of the document,Country,Publisher,Link to main Document,Publication Date,Organization Type,Text Summary,Text-mining,Extracted text,paper index,Comments
https://nam.edu/artificial-intelligence-in-health-health-care-and-biomedical-science-an-ai-code-of-conduct-principles-and-commitments-discussion-draft/,1,"Artificial Intelligence in Health, Health Care, and Biomedical Science: An AI Code of Conduct Principles and Commitments Discussion Draft",USA,National Academy of Medicine,https://nam.edu/wp-content/uploads/2024/04/Artificial-Intelligence-in-Health-Health-Care-and-Biomedical-Science_final_4.8.24V2.pdf,April 2024,Non-profit,"The National Academy of Medicine's proposed AI Code of Conduct for healthcare establishes principles to ensure the ethical, trustworthy, and effective use of AI while addressing risks like bias and privacy concerns.","Transparency: 3
Justice and fairness: 5
Non-maleficence: 24
Responsibility: 5
Privacy: 3
Beneficence: 0
Freedom and autonomy: 0
Trust: 4
Sustainability: 5
Dignity: 0
Solidarity: 0",,1,The SSL certificate issued by the server is not trusted. File was manually downloaded then extracted.
https://www.novartis.com/esg/ethics-risk-and-compliance/compliance/our-commitment-ethical-and-responsible-use-ai,1,Novartis' commitment to the ethical and responsible use of Artificial Intelligence (AI) Systems. A human-centered approach in using Artificial Intelligence to reimagine medicine,Switzerland,Novartis,https://www.novartis.com/sites/novartis_com/files/novartis-responsible-use-of-ai-systems.pdf,October 2020,Private,"Novartis' approach to AI in the pharmaceutical industry emphasizes transparency, accountability, privacy, bias mitigation, and sustainability, applying AI in drug discovery, business optimization, and patient engagement while upholding ethical standards.","Transparency: 22
Justice and fairness: 4
Non-maleficence: 7
Responsibility: 4
Privacy: 10
Beneficence: 2
Freedom and autonomy: 2
Trust: 3
Sustainability: 6
Dignity: 5
Solidarity: 0",,2,
https://assets.roche.com/f/176343/x/401c28049f/roche-ai-ethics-principles.pdf,1,Roche Artificial İntelligence ( AI) Ethics Principles ,Switzerland,Roche,https://assets.roche.com/f/176343/x/401c28049f/roche-ai-ethics-principles.pdf,December 2023,Private,"Roche's AI Ethics Principles ensure the responsible use of AI in healthcare by promoting transparency, fairness, safety, and accountability, while protecting privacy and aligning with corporate values and global standards.","Transparency: 6
Justice and fairness: 5
Non-maleficence: 13
Responsibility: 3
Privacy: 4
Beneficence: 0
Freedom and autonomy: 5
Trust: 3
Sustainability: 3
Dignity: 0
Solidarity: 0",,3,Non PDF-readable format. OCR lib was used (pytesseract) for extraction
https://healthexec.com/topics/healthcare-management/healthcare-economics/uk-government-introduces-ai-code-conduct,1,A guide to good practice for digital and data-driven health technologies,England,Department of Health & Social Care,https://www.gov.uk/government/publications/code-of-conduct-for-data-driven-health-and-care-technology/initial-code-of-conduct-for-data-driven-health-and-care-technology,January 2021,Government,"This NHS guidance outlines best practices for developing digital health technologies, focusing on ethical use, data protection, usability, and compliance to ensure clinical, social, and economic benefits while meeting safety and transparency standards.","Transparency: 7
Justice and fairness: 8
Non-maleficence: 52
Responsibility: 5
Privacy: 5
Beneficence: 10
Freedom and autonomy: 2
Trust: 4
Sustainability: 0
Dignity: 0
Solidarity: 0",,4,
https://www.nursingworld.org/~48f653/globalassets/practiceandpolicy/nursing-excellence/ana-position-statements/the-ethical-use-of-artificial-intelligence-in-nursing-practice_bod-approved-12_20_22.pdf,1,The Ethical Use of Artificial Intelligence in Nursing Practice,USA,American Nurses Association Center for Ethics and Human Rights,https://www.nursingworld.org/~48f653/globalassets/practiceandpolicy/nursing-excellence/ana-position-statements/the-ethical-use-of-artificial-intelligence-in-nursing-practice_bod-approved-12_20_22.pdf,2022,Non-profit,"The American Nurses Association's position statement provides ethical guidance on using AI in healthcare, emphasizing that it should support nursing judgment while promoting transparency, fairness, and alignment with core nursing values.","Transparency: 7
Justice and fairness: 22
Non-maleficence: 2
Responsibility: 9
Privacy: 3
Beneficence: 1
Freedom and autonomy: 2
Trust: 1
Sustainability: 0
Dignity: 0
Solidarity: 0",,5,
https://www.fsmb.org/advocacy/news-releases/fsmb-releases-recommendations-on-the-responsible-and-ethical-incorporation-of-ai-into-clinical-practice/,1,Navigating the Responsible and Ethical Incorporation of Artificial Intelligence into Clinical Practice,USA,Federation of State Medical Boards,https://www.fsmb.org/siteassets/advocacy/policies/incorporation-of-ai-into-practice.pdf,April 2024,Non-profit,"The FSMB Ethics and Professionalism Committee's report provides guidance on the ethical use of AI in clinical practice, emphasizing physician education, accountability, informed consent, data privacy, and bias mitigation, along with recommendations for state medical boards to ensure safe AI integration.","Transparency: 8
Justice and fairness: 8
Non-maleficence: 10
Responsibility: 19
Privacy: 5
Beneficence: 12
Freedom and autonomy: 11
Trust: 2
Sustainability: 0
Dignity: 0
Solidarity: 0",,6,
https://www.sanofi.com/assets/dotcom/pages/docs/our-science/digital/ai-across-sanofi/en-responsible-ai-guiding-principles.pdf,1,Responsible AI Guiding Principles,France,Sanofi,https://www.sanofi.com/assets/dotcom/pages/docs/our-science/digital/ai-across-sanofi/en-responsible-ai-guiding-principles.pdf,,Private,"Sanofi's Responsible AI Guiding Principles ensure ethical, transparent, and eco-friendly AI use, emphasizing accountability, fairness, and bias prevention while integrating these principles into its Code of Conduct and risk management throughout the AI lifecycle.","Transparency: 4
Justice and fairness: 3
Non-maleficence: 5
Responsibility: 6
Privacy: 3
Beneficence: 0
Freedom and autonomy: 1
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,7,
https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/01/collective-action-for-responsible-ai-in-health_9a65136f/f2050177-en.pdf,1,COLLECTIVE ACTION FOR RESPONSIBLE AI IN HEALTH,Global,Organisation for Economic Co-operation and Development ,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/01/collective-action-for-responsible-ai-in-health_9a65136f/f2050177-en.pdf,January 2024,Intergovernmental,"This paper examines AI's potential in healthcare, advocating for responsible adoption to improve resilience, sustainability, and equity, while emphasizing trust, capacity building, evaluation, and collaboration for ethical implementation worldwide.","Transparency: 18
Justice and fairness: 15
Non-maleficence: 68
Responsibility: 23
Privacy: 26
Beneficence: 25
Freedom and autonomy: 6
Trust: 23
Sustainability: 3
Dignity: 4
Solidarity: 0",,8,
https://main.icmr.nic.in/sites/default/files/upload_documents/Ethical_Guidelines_AI_Healthcare_2023.pdf,1,Ethical Guidelines for Application of Artificial Intelligence in Biomedical Research and Healthcare,India,Indian Council of Medical Research,https://main.icmr.nic.in/sites/default/files/upload_documents/Ethical_Guidelines_AI_Healthcare_2023.pdf,2023,Government,"This paper outlines ethical principles and guidelines for the responsible development, validation, and deployment of AI in healthcare, emphasizing safety, transparency, equity, and accountability to ensure ethical AI integration in medical and research settings.","Transparency: 8
Justice and fairness: 30
Non-maleficence: 86
Responsibility: 34
Privacy: 28
Beneficence: 9
Freedom and autonomy: 57
Trust: 8
Sustainability: 1
Dignity: 3
Solidarity: 0",,9,
https://www.itu.int/dms_pub/itu-t/opb/fg/T-FG-AI4H-2022-PDF-E.pdf,1,Ethics and governance of artificial intelligence for health,Global,Focus Group on Artificial Intelligence for Health (FG-AI4H),https://www.itu.int/dms_pub/itu-t/opb/fg/T-FG-AI4H-2022-PDF-E.pdf,June 2022,Intergovernmental,"This document highlights AI's potential to transform healthcare and outlines six core ethical principles—autonomy, well-being, transparency, accountability, inclusiveness, and sustainability—to guide its ethical development and use globally.","Transparency: 81
Justice and fairness: 56
Non-maleficence: 254
Responsibility: 165
Privacy: 133
Beneficence: 52
Freedom and autonomy: 163
Trust: 44
Sustainability: 13
Dignity: 18
Solidarity: 4",,10,
